Huai'an;33,5;119,1331;China
Xinpu;34,5906;119,1801;China
Chenzhou;25,7989;113,0267;China
Guilin;25,2667;110,2833;China
Jiujiang;29,7048;116,0021;China
Anqing;30,5;117,0333;China
Boston;42,3188;-71,0846;USA
Huanglongsi;34,7936;114,3403;China
Jiangmen;22,5833;113,0833;China
Changzhou;31,8122;119,9692;China
Barcelona;41,3825;2,1769;Spain
Wuxi;31,5667;120,2833;China
Zibo;36,7831;118,0497;China
Jiaxing;30,7522;120,75;China
Dalian;38,9;121,6;China
Hengshui;37,7348;115,686;China
Harbin;45,75;126,6333;China
Yangzhou;32,3912;119,4363;China
Yibin;28,7596;104,64;China
Johannesburg;-26,2044;28,0416;South Africa
Yiyang;28,5833;112,3333;China
Meizhou;24,2998;116,1191;China
Chifeng;42,2663;118,9223;China
Casablanca;33,5992;-7,62;Morocco
Guiyang;26,5794;106,7078;China
Langfang;39,5196;116,7006;China
Zhangjiakou;40,8108;114,8811;China
Izmir;38,4127;27,1384;Turkey
Linfen;36,0812;111,5087;China
Wenzhou;27,9991;120,6561;China
Monterrey;25,6667;-100,3;Mexico
Luzhou;28,8918;105,4409;China
Jiangguanchi;34,0244;113,8201;China
Neijiang;29,5872;105,0635;China
Phoenix;33,5722;-112,0891;USA
Yanjiang;30,1256;104,6397;China
Zhaoqing;23,05;112,4667;China
Xiaoxita;30,7083;111,2803;China
Guigang;23,0961;109,6092;China
Xiamen;24,4797;118,0819;China
Chuzhou;32,3062;118,3115;China
Fuzhou;27,9814;116,3577;China
Zhuzhou;27,8407;113,1469;China
Amman;31,95;35,9333;Jordan
Jeddah;21,5428;39,1728;Saudi Arabia
Loudi;27,7378;111,9974;China
Deyang;31,1289;104,395;China
Qingyuan;23,6842;113,0507;China
Wuhu;31,334;118,3622;China
Hechi;23,0965;109,6091;China
Seattle;47,6211;-122,3244;USA
Binzhou;37,3806;118,0125;China
Yokohama;35,4333;139,6333;Japan
Liuzhou;24,3264;109,4281;China
Baojishi;34,3609;107,1751;China
Guang'an;30,4673;106,6336;China
Hanzhong;33,0794;107,026;China
Kabul;34,5328;69,1658;Afghanistan
Zaozhuang;34,8667;117,55;China
Berlin;52,5167;13,3833;Germany
Anshan;41,1066;122,9895;China
Lanzhou;36,0617;103,8318;China
Chengde;40,9739;117,9322;China
San Francisco;37,7562;-122,443;USA
Puyang;35,7639;115,03;China
Suining;30,5098;105,5737;China
Jiaozuo;35,229;113,2304;China
Bengbu;32,9354;117,3531;China
Montreal;45,5089;-73,5617;Canada
Detroit;42,3834;-83,1024;USA
Baicheng;23,901;106,6194;China
Busan;35,1;129,0403;Korea, South
Algiers;36,7764;3,0586;Algeria
Qincheng;34,5809;105,7311;China
Taiyuan;37,8733;112,5425;China
Shiyan;32,6351;110,7755;China
Lucknow;26,847;80,947;India
Chaoyang;41,5757;120,4486;China
Hechi;24,6928;108,085;China
Leshan;29,5854;103,7575;China
Yulinshi;38,2655;109,7388;China
Siping;43,1715;124,3644;China
Zhongshan;22,5333;113,35;China
Changzhi;36,1953;113,097;China
San Diego;32,8312;-117,1225;USA
Faisalabad;31,418;73,079;Pakistan
Santa Cruz;-17,7892;-63,1975;Bolivia
Qinhuangdao;39,9398;119,5881;China
Bazhou;31,8576;106,7559;China
Zhenjiang;32,2109;119,4551;China
Urumqi;43,8225;87,6125;China
Tongliao;43,6172;122,264;China
Heyuan;23,7503;114,6923;China
Tongren;27,7233;109,1885;China
Qinzhou;21,95;108,6167;China
Jaipur;26,9167;75,8667;India
Xinzhou;38,4178;112,7233;China
Addis Ababa;9,0272;38,7369;Ethiopia
Meishan;30,0575;103,8381;China
Brasilia;-15,7939;-47,8828;Brazil
Mashhad;36,3069;59,6042;Iran
Jinzhou;41,1144;121,1292;China
Tieling;42,2841;123,8365;China
Shaoguan;24,8011;113,5927;China
Kuwait City;29,375;47,98;Kuwait
Shanwei;22,7664;115,3331;China
Minneapolis;44,9635;-93,2678;USA
Kyiv;50,45;30,5236;Ukraine
Sanaa;15,35;44,2;Yemen
Quezon City;14,6333;121,0333;Philippines
Dingxi;35,5806;104,6263;China
Incheon;37,4639;126,6486;Korea, South
Bursa;40,1833;29,0667;Turkey
Ningde;26,6667;119,5167;China
Tampa;27,9942;-82,4451;USA
Daqing;46,5979;125,008;China
Birmingham;52,48;-1,9025;UK
Putian;25,4394;119,0103;China
Huzhou;30,8695;120,0958;China
Salvador;-12,9708;-38,5108;Brazil
Wuzhou;23,4833;111,3167;China
Xiangtan;27,8431;112,9228;China
Denver;39,7621;-104,8759;USA
Rome;41,8931;12,4828;Italy
La Paz;-16,4942;-68,1475;Bolivia
Pyongyang;39,03;125,73;Korea, North
Kano;12;8,5167;Nigeria
Taichung;24,15;120,6667;Taiwan
Omdurman;15,6835;32,4629;Sudan
Zigong;29,3498;104,7645;China
Mudanjiang;44,5861;129,5997;China
Huludao;40,7094;120,8378;China
Kaohsiung;22,6167;120,3;Taiwan
Guayaquil;-2,1833;-79,8833;Ecuador
Rizhao;35,4164;119,4331;China
Manchester;53,4794;-2,2453;UK
Cawnpore;26,4725;80,3311;India
Baotou;40,6562;109,8345;China
Taipei;25,0478;121,5319;Taiwan
Nanping;26,6448;118,1728;China
Chaozhou;23,67;116,63;China
Longyan;25,0881;117,0244;China
Ibadan;7,3964;3,9167;Nigeria
Hohhot;40,8151;111,6629;China
Antananarivo;-18,9386;47,5214;Madagascar
Longba;33,535;105,349;China
Weihai;37,5;122,1;China
Chattogram;22,335;91,8325;Bangladesh
Santo Domingo;18,4764;-69,8933;Dominican Republic
Xuanzhou;30,9475;118,7518;China
Sanming;26,2658;117,6302;China
Brooklyn;40,6501;-73,9496;USA
Yangjiang;21,8556;111,9627;China
Medellin;6,2447;-75,5748;Colombia
Yunfu;22,9242;112,0353;China
Brisbane;-27,4678;153,0281;Australia
Baoshan;25,1211;99,169;China
Dubai;25,2697;55,3094;United Arab Emirates
Luohe;33,583;114,0109;China
Qinbaling;35,7278;107,64;China
Mirzapur;25,15;82,58;India
Guangyuan;32,4353;105,8398;China
Cali;3,44;-76,5197;Colombia
Huangshi;30,2018;115,0326;China
Daegu;35,8667;128,6;Korea, South
Fortaleza;-3,7275;-38,5275;Brazil
Guatemala City;14,6099;-90,5252;Guatemala
Yaounde;3,8578;11,5181;Cameroon
Douala;4,05;9,7;Cameroon
Jilin;43,85;126,55;China
Lianshan;40,7503;120,83;China
Lincang;23,8864;100,0871;China
Antalya;36,9081;30,6956;Turkey
Tashkent;41,3;69,2667;Uzbekistan
Bandung;-6,95;107,5667;Indonesia
Nagpur;21,1539;79,0831;India
Huainan;32,4831;117,0164;China
Dandong;40,1167;124,3833;China
Shangzhou;33,868;109,9244;China
Bekasi;-6,2333;107;Indonesia
Ghaziabad;28,6667;77,4167;India
Tijuana;32,525;-117,0333;Mexico
Jiamusi;46,8081;130,3653;China
Accra;5,6037;-0,187;Ghana
Yuxi;24,3495;102,5432;China
Anshun;26,2456;105,934;China
Vancouver;49,25;-123,1;Canada
Tangerang;-6,1783;106,6319;Indonesia
Konya;37,8714;32,4847;Turkey
Queens;40,7498;-73,7976;USA
Yingkou;40,6653;122,2297;China
Adana;37;35,325;Turkey
Medan;3,6667;98,6667;Indonesia
Sanmenxia;34,7736;111,195;China
Indore;22,7206;75,8472;India
Ma'anshan;31,7135;118,3605;China
Pingliang;35,5412;106,6819;China
Quzhou;28,9545;118,8763;China
Baku;40,3667;49,8352;Azerbaijan
Gaoping;30,7804;106,13;China
Huaibei;33,9562;116,789;China
Xining;36,6239;101,7787;China
Harare;-17,8292;31,0522;Zimbabwe
Yan'an;36,5952;109,4863;China
Havana;23,1367;-82,3589;Cuba
Phnom Penh;11,5696;104,921;Cambodia
Fukuoka;33,6;130,4167;Japan
Mogadishu;2,0408;45,3425;Somalia
Jincheng;35,4906;112,8483;China
Puning;23,2993;116,1586;China
Lishui;28,45;119,9167;China
Qingyang;24,8141;118,5792;China
Riverside;33,9381;-117,3948;USA
Baltimore;39,3051;-76,6144;USA
Haiphong;20,8;106,6667;Vietnam
Las Vegas;36,2333;-115,2654;USA
Laibin;23,7333;109,2333;China
Rawalpindi;33,6007;73,0679;Pakistan
Kumasi;6,6833;-1,6167;Ghana
Portland;45,5372;-122,65;USA
Vadodara;22,3;73,2;India
Perth;-31,9522;115,8589;Australia
San Antonio;29,4658;-98,5253;USA
Vishakhapatnam;17,7333;83,3167;India
Gujranwala;32,15;74,1833;Pakistan
Gaziantep;37,0667;37,3833;Turkey
Fushun;41,8708;123,8917;China
St. Louis;38,6358;-90,2451;USA
Bamako;12,6458;-7,9922;Mali
Quito;-0,2186;-78,5097;Ecuador
Minsk;53,9022;27,5618;Belarus
Pingxiang;27,6333;113,85;China
Chongzuo;22,4167;107,3667;China
Sanliurfa;37,1583;38,7917;Turkey
Kananga;-5,897;22,4488;Congo (Kinshasa)
Peshawar;34;71,5;Pakistan
Sapporo;43,0621;141,3544;Japan
Hezhou;24,4164;111,5478;China
Jixi;45,2937;130,965;China
Caracas;10,5;-66,9333;Venezuela
Fuxin;42,0127;121,6486;China
Aleppo;36,2;37,15;Syria
Almaty;43,25;76,9;Kazakhstan
Dayr az Zawr;35,3333;40,15;Syria
Vienna;48,2083;16,3731;Austria
Leeds;53,7997;-1,5492;UK
Sacramento;38,5667;-121,4683;USA
Blantyre;-15,7861;35,0058;Malawi
Tainan;22,9833;120,1833;Taiwan
Zhuhai;22,2769;113,5678;China
Bucharest;44,4;26,0833;Romania
Wuwei;37,9278;102,6329;China
Bhopal;23,25;77,4167;India
Curitiba;-25,4297;-49,2719;Brazil
Multan;30,1978;71,4711;Pakistan
Xiping;40,08;113,3;China
Asuncion;-25,3;-57,6333;Paraguay
Saidu Sharif;34,75;72,3572;Pakistan
Hamburg;53,55;10;Germany
Meru;0,05;37,65;Kenya
Brazzaville;-4,2667;15,2833;Congo (Brazzaville)
Orlando;28,4772;-81,3369;USA
Mersin;36,8;34,6167;Turkey
Kyoto;35,0111;135,7669;Japan
Manaus;-3,1;-60,0167;Brazil
Liaoyang;41,2643;123,1772;China
Baiyin;36,5448;104,1766;China
San Jose;37,3019;-121,8486;USA
Warsaw;52,2167;21,0333;Poland
Shengli;37,45;118,4667;China
Lubumbashi;-11,6697;27,4581;Congo (Kinshasa)
Haikou;20,02;110,32;China
Damascus;33,5131;36,2919;Syria
Shuyangzha;34,1299;118,7734;China
Brussels;50,8333;4,3333;Belgium
Esfahan;32,6447;51,6675;Iran
Budapest;47,4983;19,0408;Hungary
Heihe;50,2458;127,4886;China
Lusaka;-15,4167;28,2833;Zambia
Hyderabad City;25,3792;68,3683;Pakistan
Diyarbakir;37,9108;40,2367;Turkey
Chinchvad;18,6278;73,8131;India
Shuozhou;39,3408;112,4292;China
Cleveland;41,4767;-81,6804;USA
Pittsburgh;40,4396;-79,9762;USA
Patna;25,61;85,1414;India
Mosul;36,3667;43,1167;Iraq
Austin;30,3004;-97,7522;USA
Sanzhou;30,82;108,4;China
Mecca;21,4225;39,8261;Saudi Arabia
Conakry;9,5092;-13,7122;Guinea
Kampala;0,3136;32,5811;Uganda
Ecatepec;19,6097;-99,06;Mexico
Cincinnati;39,1413;-84,5061;USA
Makassar;-5,1331;119,4136;Indonesia
Yushan;31,3867;120,9766;China
Ludhiana;30,9083;75,8486;India
Newcastle;55,0077;-1,6578;UK
Depok;-6,394;106,8225;Indonesia
Zhongli;24,965;121,2168;Taiwan
Kansas City;39,1239;-94,5541;USA
Ouagadougou;12,3572;-1,5353;Burkina Faso
Davao;7,0667;125,6;Philippines
Manhattan;40,7834;-73,9662;USA
Semarang;-6,9667;110,4167;Indonesia
Yinchuan;38,4795;106,2254;China
Caloocan City;14,65;120,9667;Philippines
Novosibirsk;55,0333;82,9167;Russia
Chengtangcun;35,0833;117,15;China
Agra;27,18;78,02;India
Karaj;35,8327;50,9915;Iran
Indianapolis;39,7771;-86,1458;USA
Jingdezhen;29,2942;117,2036;China
Puebla;19,0333;-98,1833;Mexico
Kalyan;19,2502;73,1602;India
Madurai;9,9197;78,1194;India
Benxi;41,292;123,761;China
Jamshedpur;22,8;86,1833;India
Recife;-8,0539;-34,8808;Brazil
Columbus;39,9862;-82,985;USA
Tabriz;38,0833;46,2833;Iran
Maracaibo;10,6333;-71,6333;Venezuela
Zhangjiajie;29,1255;110,4844;China
Beihai;21,4667;109,1;China
Shuangyashan;46,6388;131,1545;China
Kobe;34,6913;135,183;Japan
Charlotte;35,208;-80,8304;USA
Yucheng;29,9888;103,0007;China
Changshu;31,65;120,7333;China
Lianjiang;21,6146;110,2794;China
Ximeicun;24,9633;118,3811;China
Jianguang;28,1958;115,7833;China
Madinat as Sadis min Uktubar;29,9361;30,9269;Egypt
Xushan;30,1697;121,2665;China
Belem;-1,4558;-48,5039;Brazil
Guiping;23,4;110,0833;China
Leizhou;20,9147;110,0806;China
Gwangju;35,1667;126,9167;Korea, South
Nasik;20;73,7833;India
Porto Alegre;-30,0328;-51,23;Brazil
Valencia;10,1667;-68;Venezuela
Onitsha;6,1667;6,7833;Nigeria
Virginia Beach;36,7335;-76,0435;USA
Daejeon;36,351;127,385;Korea, South
Munich;48,1372;11,5755;Germany
Auckland;-36,85;174,7833;New Zealand
Yekaterinburg;56,8356;60,6128;Russia
Huangshan;29,7132;118,3151;China
Huazhou;32,6889;112,0447;China
Shiraz;29,61;52,5425;Iran
Pizhou;34,3422;118,0097;China
Palembang;-2,9833;104,7644;Indonesia
Leon de los Aldama;21,1167;-101,6833;Mexico
El Kelaa des Srarhna;32,05;-7,4;Morocco
Kharkiv;50;36,2292;Ukraine
Kawanakajima;35,53;139,705;Japan
Yangshe;31,8775;120,5512;China
Chizhou;30,6583;117,4849;China
Guyuan;36,008;106,2782;China
Rui'an;27,778;120,6526;China
Birstall;52,6736;-1,12;UK
Muscat;23,6139;58,5922;Oman
Hebi;35,7497;114,2887;China
Bronx;40,8501;-73,8662;USA
Gaozhou;21,9135;110,8481;China
The Hague;52,0767;4,2986;Netherlands
Owerri;5,4833;7,0333;Nigeria
Sharjah;25,3575;55,3919;United Arab Emirates
Faridabad;28,4333;77,3167;India
Ulaanbaatar;47,9203;106,9172;Mongolia
Goiania;-16,6806;-49,2564;Brazil
Kayseri;38,7333;35,4833;Turkey
Yueqing;28,1188;120,9621;China
Belgrade;44,8167;20,4667;Serbia
Pingdu;36,7833;119,9556;China
Milan;45,4669;9,19;Italy
Aurangabad;19,88;75,32;India
Yutan;28,3147;112,554;China
Wenling;28,3797;121,3718;China
Milwaukee;43,0642;-87,9673;USA
Sofia;42,6979;23,3217;Bulgaria
Adelaide;-34,9289;138,6011;Australia
Prague;50,0833;14,4167;Czechia
Samsun;41,2867;36,33;Turkey
Rajkot;22,2969;70,7984;India
Liangshi;27,2578;111,7351;China
Khulna;22,8167;89,55;Bangladesh
Cordoba;-31,4167;-64,1833;Argentina
Guarulhos;-23,4667;-46,5333;Brazil
Juarez;31,7386;-106,487;Mexico
Saitama;35,8617;139,6453;Japan
Montevideo;-34,8667;-56,1667;Uruguay
Mbuji-Mayi;-6,1209;23,5967;Congo (Kinshasa)
Fuqing;25,7232;119,3735;China
Xintai;35,91;117,78;China
Doha;25,3;51,5333;Qatar
Hiroshima;34,4;132,45;Japan
Meerut;28,99;77,7;India
Yushu;44,8249;126,5451;China
Rongcheng;26,2312;104,0966;China
Huazhou;21,654;110,6294;China
Yangquan;37,8576;113,5762;China
Haicheng;40,8523;122,7474;China
Yingtan;28,2333;117;China
Huaiyin;33,58;119,03;China
Wuzhong;37,9874;106,1919;China
Barranquilla;10,9639;-74,7964;Colombia
Jabalpur;23,1667;79,9333;India
Thane;19,18;72,9633;India
Zhangye;38,9355;100,4553;China
Rucheng;32,3852;120,5634;China
Nizhniy Novgorod;56,3269;44,0075;Russia
Comayaguela;14,0833;-87,2167;Honduras
Shaoyang;32,9387;119,8404;China
Dhanbad;23,7928;86,435;India
Yichun;47,7235;128,8893;China
Laiwu;36,1833;117,6667;China
Jingling;30,6667;113,1667;China
Kazan;55,7908;49,1144;Russia
Dayan;26,8808;100,2208;China
Suwon;37,2858;127,01;Korea, South
Jiangyin;31,9087;120,2653;China
Yongcheng;33,9317;116,4459;China
Calgary;51,05;-114,0667;Canada
Can Tho;10,0333;105,7833;Vietnam
Abuja;9,0556;7,4914;Nigeria
Yiwu;29,3081;120,0698;China
Mandalay;21,9769;96,0869;Myanmar
Beidao;34,6;105,92;China
Al Basrah;30,4889;47,81;Iraq
Shuangshui;26,5944;104,8333;China
Vila Velha;3,2167;-51,2167;Brazil
Allahabad;25,455;81,84;India
Varanasi;25,3189;83,0128;India
Chelyabinsk;55,15;61,4;Russia
Mombasa;-4,05;39,6667;Kenya
Providence;41,823;-71,4187;USA
Qom;34,6461;50,8789;Iran
Maiduguri;11,8333;13,15;Nigeria
Maputo;-25,9153;32,5764;Mozambique
Rosario;-32,9575;-60,6394;Argentina
Benin City;6,3176;5,6145;Nigeria
Xinyu;27,795;114,9242;China
Pikine;14,75;-17,4;Senegal
Ahvaz;31,3203;48,6692;Iran
Dublin;53,3497;-6,2603;Ireland
Jacksonville;30,3322;-81,6749;USA
Medina;24,4667;39,6;Saudi Arabia
Srinagar;34,0911;74,8061;India
Omsk;54,9667;73,3833;Russia
Cilacap;-7,7167;109,017;Indonesia
Bandar Lampung;-5,4294;105,2625;Indonesia
Samara;53,1833;50,1167;Russia
Guankou;28,1417;113,625;China
Ulsan;35,55;129,3167;Korea, South
Dingzhou;38,5158;114,9845;China
Campinas;-22,9009;-47,0573;Brazil
Lianyuan;27,6961;111,6659;China
Rongcheng;29,8239;112,9019;China
Kaiyuan;36,0656;113,8153;China
Nay Pyi Taw;19,7475;96,115;Myanmar
Dakar;14,7319;-17,4572;Senegal
Zhuji;29,7169;120,2314;China
Kigali;-1,9536;30,0606;Rwanda
Zapopan;20,7167;-103,4;Mexico
Leiyang;26,4179;112,8457;China
Santiago;19,45;-70,7;Dominican Republic
Dadukou;26,5849;101,7149;China
Xiantao;30,3833;113,4;China
Amritsar;31,6167;74,85;India
Callao;-12,0611;-77,1333;Peru
Aligarh;27,88;78,08;India
Yingchuan;34,1511;113,4733;China
Tegucigalpa;14,0942;-87,2067;Honduras
Ciudad Nezahualcoyotl;19,41;-99,03;Mexico
Tripoli;32,8752;13,1875;Libya
Rostov;47,2333;39,7167;Russia
Nezahualcoyotl;19,4;-98,9889;Mexico
Bhiwandi;19,3;73,0667;India
Zhoushan;30,0162;122,0988;China
Tbilisi;41,7225;44,7925;Georgia
Ufa;54,7333;55,9667;Russia
Fes;34,0433;-5,0033;Morocco
Sevilla;37,39;-5,99;Spain
Mexicali;32,6633;-115,4678;Mexico
Bien Hoa;10,9277;106,8681;Vietnam
Gwalior;26,215;78,1931;India
Ankang;32,6877;109,0235;China
Ikare;7,5304;5,76;Nigeria
Huambo;-12,7667;15,7333;Angola
Hegang;47,3139;130,2775;China
Salt Lake City;40,7777;-111,9306;USA
Bhilai;21,2167;81,4333;India
Yuyao;30,0372;121,1546;China
N'Djamena;12,11;15,05;Chad
Hanchuan;30,652;113,8274;China
Gongzhuling;43,5036;124,8088;China
Irbid;32,5556;35,85;Jordan
Haora;22,59;88,31;India
Cologne;50,9422;6,9578;Germany
Krasnoyarsk;56,0167;92,8667;Russia
Yicheng;31,3697;119,8239;China
Sao Goncalo;-22,8269;-43,0539;Brazil
Nashville;36,1715;-86,7843;USA
Yerevan;40,1814;44,5144;Armenia
Ranchi;23,3556;85,3347;India
Nur-Sultan;51,1333;71,4333;Kazakhstan
Nouakchott;18,0858;-15,9785;Mauritania
Vereeniging;-26,6736;27,9319;South Africa
Richmond;37,5295;-77,4756;USA
Sao Luis;-2,53;-44,3028;Brazil
San Pedro Sula;15,5;-88,0333;Honduras
Taixing;32,1724;120,0142;China
Memphis;35,1046;-89,9773;USA
Goyang;37,6564;126,835;Korea, South
Bezwada;16,5167;80,6167;India
Edmonton;53,5344;-113,4903;Canada
Mizhou;35,99;119,3801;China
Tunis;36,8008;10,18;Tunisia
Xishan;27,6609;113,4946;China
Ezhou;30,3972;114,8842;China
Barquisimeto;10,0678;-69,3467;Venezuela
Sendai;38,2683;140,8694;Japan
Voronezh;51,6717;39,2106;Russia
Perm;58,0139;56,2489;Russia
Changwon;35,2281;128,6811;Korea, South
Zhongwei;37,5139;105,1884;China
Shouguang;36,8833;118,7333;China
Bogor;-6,6;106,8;Indonesia
Raleigh;35,8325;-78,6435;USA
Cartagena;10,4236;-75,5253;Colombia
Chandigarh;30,7353;76,7911;India
Bishkek;42,8667;74,5667;Kyrgyzstan
Matola;-25,9667;32,4667;Mozambique
Ogbomoso;8,1333;4,25;Nigeria
Ashgabat;37,95;58,3833;Turkmenistan
Maceio;-9,6658;-35,735;Brazil
Niamey;13,5086;2,1111;Niger
Managua;12,15;-86,2667;Nicaragua
Patam;1,0678;104,0167;Indonesia
Tekirdag;40,9833;27,5167;Turkey
Shubra al Khaymah;30,1286;31,2422;Egypt
Linhai;28,8523;121,1409;China
Monrovia;6,3106;-10,8047;Liberia
Wafangdian;39,6271;121,9972;China
Zhongxiang;31,169;112,5853;China
Odesa;46,4775;30,7326;Ukraine
Shymkent;42,3;69,6;Kazakhstan
New Orleans;30,0687;-89,9288;USA
Thu Duc;10,8199;106,7909;Vietnam
Volgograd;48,7086;44,5147;Russia
Port-au-Prince;18,5425;-72,3386;Haiti
Islamabad;33,6989;73,0369;Pakistan
Mysore;12,3086;76,6531;India
Xinyi;22,3559;110,9369;China
Kathmandu;27,7167;85,3667;Nepal
Raipur;21,2379;81,6337;India
Nice;43,7034;7,2663;France
Arequipa;-16,3988;-71,5369;Peru
Port Harcourt;4,75;7;Nigeria
Louisville;38,1663;-85,6485;USA
Zaoyang;32,1287;112,7581;China
Shuizhai;33,4433;114,8994;China
